tweets,Subjectivity,Polarity,Analysis
"  Mannn, they is stopid there making there mascot fight other animals that are in the game and they got angry at Nintendo for Pokèmon because creatures were fighting 🤡🤥",0.5916666666666667,-0.3416666666666666,-1
" _Sakurai  You've got to be stupid if you think a fucking chicken of all things would be made into a smash bros fighter

Go ahead, block me for this tweet. Won't change anything.",0.975,-0.7,-1
" , 

You said not to eat animals, so now, I eat humans, hope you're happy. D",1.0,0.8,1
"  You put on this facade of caring about animals, when you fucking euthanize dogs and cats. If you do hide this tweet, (Which you definitely WILL.) then you are literally admitting that you hide the truth from others.",0.65,-0.3,-1
"  
Is sleeping 😴😴😴 https//t.co/2vNwV4sFSM",0.0,0.0,0
" Yeah, sure, okay, Peta Griffin. https//t.co/rSXFeG79mt",0.6944444444444444,0.5,1
 https//t.co/TGxcPK9VUb,0.0,0.0,0
  My counter argument. If animals shouldn't be eaten. Why are they made of food ?,0.0,0.0,0
 oombuhiratha https//t.co/9iUBysQFnh,0.0,0.0,0
 https//t.co/SBtC3Nahw4,0.0,0.0,0
 https//t.co/swKDPLzD4M,0.0,0.0,0
 Hi lovely Peta pray u r all staying safe and well?If I tell u that I have been a strict vegetarian for 60 years now I hope u will understand that I wont be Vegan.Ihave a problem with what will happen to all the farm animals if everyone is Vegan Sorry Jo,0.75,0.16666666666666666,1
 https//t.co/mnhCiLgPOJ,0.0,0.0,0
 Boycott Alexander Australia fur products. Is this ethical? https//t.co/54KnQVl09H,0.6,0.2,1
 😢God forgive the ‘animal tortures’ I can’t🧐,0.0,0.0,0
 _Sakurai  No.,0.0,0.0,0
 PARTAGEONS au maximum !!,0.0,0.0,0
  It’s called animal ‘slavery’.😢,0.0,0.0,0
" Rats will be disposed of. Rats are pests. If you dont want that happening, you better build a facilities to catch and house all the rats in the world.",0.5,0.5,1
" 
Thats what happened in Faroe islands for 1500 dolphins, what are you going to do? https//t.co/lxwLqVxeye",0.0,0.0,0
"  For every stupid post I see I go hunting that weekend.  So I'll basically be hunting every weekend. I'll keep you posted on how they go through my 100s of alternates.  So block away, it won't work 😘",1.0,-0.7999999999999999,-1
 Nice block when you tell people to act like the omnivores they are. https//t.co/qI5bqT52TV,1.0,0.6,1
  No,0.0,0.0,0
 _Sakurai  No,0.0,0.0,0
"  _CH   
Killing of 1500 Dolphins in the name of tradition. ShameOnDenmark 

https//t.co/J34N5vg63Q",0.0,0.0,0
  Horrendous!!!,0.0,0.0,0
  https//t.co/O6CWaL6mIa,0.0,0.0,0
   _marmo Monstrous. - How can one torture such sweet creatures for a start,0.575,0.175,1
 any comments on these fantastic results? https//t.co/adYLFWEWoi,0.9,0.4,1
" If their experiments are all that relevant for people, how come they don't try them on people? Would make more sense, somehow",0.7,0.45,1
 https//t.co/gya0GrfCq2,0.0,0.0,0
  What about Faroe  Island  Dolphin genocide,0.0,0.0,0
" But honestly, what do people think they eat? Dead bodies of sentient beings who wanted to live",0.6,0.1787878787878788,1
  No you are eating your way to it.,0.0,0.0,0
 Lol Peta you kill animals too.,0.7,0.8,1
" Bruh I know you kill animals for no reason. AND YOU'RE PRETENDING TO BE ANIMAL LOVERS? Well no you don't.
You're gonna ruin your reputation as an 'Animal Helping Organisation'. https//t.co/Lka9vXoZvj",0.0,0.0,0
"  When they do not 'resort' to monkeys for experimentation, they often use rodents, or dogs and cats",0.0,0.0,0
"  Psychologists everywhere ""experiment"" on monkeys. Only the law can prevent this.- Strange,  somehow being that - if they consider monkeys to be 'worthless' enough to experiment on - they'd apply theories based on them to 'superior' humankind",0.69,-0.030000000000000027,-1
 So good 🔥🔥🔥😍😍😍😩😩😩😩😩😩,0.6000000000000001,0.7,1
 _Sakurai  stfu peta,0.0,0.0,0
"  Bless you Ingrid and thank you for the constant ,continued work you do to help sabe and rescue all these beautiful animals. I wish I could help do more then donate and sign petions x",0.611111111111111,0.45,1
  Speaking of writing things to be purposely misleading mby someone with an agenda... Hows your propoganda campaign coming?,0.0,0.0,0
 Vegan foods are parts of plant body too!,0.0,0.0,0
 _Eubanks This just inspired me to eat even more fruits and veggies while watching  https//t.co/tkgAemxYCt,0.5,0.5,1
   Pull out them tiddies a homie needs some milk for his coffee,0.0,0.0,0
"  And if you're vegan, everything is a joke.",0.0,0.0,0
" but rats are gross and also have you ever heard of overpopulation. and also getting in peoples faces and shaming them for eating meat doesn´t make them want to stop eating animals, it just makes them think that your crazy",0.45,-0.3,-1
"  Woaaahhhh duuuude thats craaazy, I didn't ask",0.0,0.0,0
 Yeah I know,0.0,0.0,0
  then that means that this dlc sucks,0.3,-0.3,-1
 is it true that you support the kkk and we’re once wearing kkk uniforms to protest a dog race/dog show,0.65,0.35,1
 Thank you for this list!,0.0,0.0,0
"  ""History in the making"" bro you wont achieve shit",0.8,-0.2,-1
 What we should shut down is peta,0.2888888888888889,-0.15555555555555559,-1
 _USA Bro child abuse.,0.0,0.0,0
 Fricking delicious,1.0,1.0,1
   ,0.0,0.0,0
"  No, we are making these types of tweets to extinction.",0.0,0.0,0
"  If yall couldn't tell, this is PETA's marketing strategy. Saying the dumbest thing, tweet gets popular due to stupidity, profit(?).",0.7583333333333333,-0.041666666666666664,-1
  Still ate your mom’s poop chute last night so cry about it,0.06666666666666667,0.0,0
 _Sakurai  I'm gonna turn that fucker in kfc,0.0,0.0,0
  This you? https//t.co/Qt47DhN6Y5,0.0,0.0,0
"  I mean by putting not a nugget in this game, you’re technically promoting violence against animals which is the one time you are against?",0.3958333333333333,-0.23750000000000002,-1
 _Sakurai  ÑÑÑÑÑÑÑÑÑÑÑÑÑÑÑÑÑ 🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖🐮🍖,0.0,0.0,0
  Nah bruh Not a Nugget got that op special that's broken. https//t.co/wo3hksCajO,0.4857142857142857,-0.021428571428571436,-1
   CAN you Red Sea water on the shores of Denmark. If you are blind cannot see those dolphins please dismantle your organisation. You never cease to annoy me with your hypocrisy,0.3333333333333333,-0.25,-1
   https//t.co/smUCGhqZhe,0.0,0.0,0
  knock ..knock r u guys there? https//t.co/tqQqWN9Ji4,0.0,0.0,0
  PETA advocating for animal violence by wanting a chick to be in a game where characters will beat the pulp out of it. Tisk tisk PETA.,0.4,-0.4,-1
  https//t.co/h192pJzlgJ,0.0,0.0,0
   Man the folks at pets really are degenerates. Share furry porn and everything.,0.2,0.2,1
" Probably wants to go home, migrate, seek other whales, feel the dark cold sea full of nature once more! 😢😭 I hate animal enslavement for our entertainment, it is rather barbaric!! 💔🪓

peta animals compassion",0.5464285714285714,-0.09999999999999999,-1
 You’re eating vegans.  Whynot go to the source that is making meat  the healthiest Healthy,0.5,0.5,1
 _Sakurai  https//t.co/ghAlaEG7Qe,0.0,0.0,0
  _Paris omg i love this purse!,0.6,0.625,1
 woah meat is made of animals? who could have guessed??,0.0,0.0,0
 _Sakurai  https//t.co/ODhWaMt4BG,0.0,0.0,0
  https//t.co/qguvhnMrDH,0.0,0.0,0
  Imma make gore pr0n of that lil chicken just to spite y'all now of course as an anime girl just to make it obvious that y'all are degenerates,0.725,-0.3,-1
  save these dogs and help this smallLandlord https//t.co/Wh8xLagpTV,0.0,0.0,0
 https//t.co/dVL8mcj8er,0.0,0.0,0
   I WOULD CHOOSE THE OCEAN,0.0,0.0,0
 Then I love eating body parts,0.6,0.5,1
 Good thing her best friend wasn't a dog so you guys wouldn't take it and then kill it huh,0.45000000000000007,0.85,1
  PETA please red Theodore Kazcynski https//t.co/yFzZDCI9xe,0.0,0.0,0
 _Paris Or is that the blood of all the dogs and cats you've killed?,0.0,-0.2,-1
 we all knew that.,0.0,0.0,0
"  If you were a dog or a cat, would you want to be scooped up by a fraudulent organization just to be killed and then have the same organization claim they ""help animals""

No?? 

Neither would I",0.0625,-0.1,-1
 Dogs and cats trying to escape peta's death chamber of an organization,0.0,0.0,0
 _Cabello Vegan for the animals and the planet.,0.0,0.0,0
 Omg that is so sad,1.0,-0.5,-1
" Yeah we know I had Korean BBQ the other day, ginseng is so good",0.48750000000000004,0.2875,1
 Question? What should the fur houses do now with them? Since the animals died in vein? I get no more killing of animals but what should they do with them. We shouldn’t distort them. Indigenous people use to keep warm. Maybe make blankets for the poverich countries? https//t.co/iGLSCEaYpQ,0.55,0.175,1
   ‘s “EndGame2050” was also very good.,0.7800000000000001,0.9099999999999999,1
  Stop killing dogs,0.0,0.0,0
 i love eating meat its so tasty and nourishing,0.6,0.5,1
 Yo  this shit look delicious https//t.co/aHtg1tBoVB,0.9,0.4,1
 https//t.co/3egVhrejnR,0.0,0.0,0
 mmm tasty https//t.co/7IGJ9NPGrJ,0.0,0.0,0
" ""Animals are not ours to experiment on"" you're right. you just straight up off them",0.46785714285714286,0.24285714285714285,1
  If you love animals please take two seconds to stop this bill from passing https//t.co/KcZnVIm4BV,0.6,0.5,1
 If you love animals please take 2 seconds to sign https//t.co/KcZnVIm4BV,0.6,0.5,1
   I'm somewhat of a furry myself. 😊 https//t.co/PPD1qWWK8g,0.0,0.0,0
 No wayyyy https//t.co/2egvbDJbJ5,0.0,0.0,0
 CaptivityIsSlavery SpeakUp Share Retweet CaptivityKills DontBuyATicket AnimalRights AnimalLiberation TakeAction ForTheAnimals,0.0,0.0,0
 remember that whenever you tweet you will get ratioed,0.0,0.0,0
  I'll eat that chicken for breakfast in tourney,0.95,-0.6,-1
 You're right 👍👍👍❤️❤️❤️❤️❤️❤️❤️,0.5357142857142857,0.2857142857142857,1
 😡😡😡,0.0,0.0,0
"  you know that no one LIKES you, right? If they wanted to put a dog murderer in the game, they could add DIO, and it would actually be cool.",0.5285714285714286,0.07857142857142856,1
  💔,0.0,0.0,0
 Did the pig nipple taste good?,0.6000000000000001,0.7,1
" NintendoAmerica 
I'll eat that nugget fried https//t.co/c8WfdOZQv5",0.0,0.0,0
 i love eating meat,0.6,0.5,1
 we don’t care,0.0,0.0,0
 Eat this ratio,0.0,0.0,0
   Bro if cows had titties like that i would be permanently affixed to them,0.0,0.0,0
 _USA Are those dogs sleeping or did  euthanize them?,0.0,0.0,0
 _USA hes what 2-5 months old?,0.2,0.1,1
 _USA The future sleeps in peace!,0.125,0.0,0
 _USA Child abuse,0.0,0.0,0
 srt,0.0,0.0,0
 ur gonna be frustrated after this RATIO,0.2,-0.7,-1
 That was really awesome,1.0,1.0,1
 Just why?!? 😢😢😢,0.0,0.0,0
" Yo that was fucking awesome.
I kind a wanna get a job at a meat factory.",0.95,0.8,1
 What happen to the dogs in Afghanistan?,0.0,0.0,0
 can you please unblock me 😢🥺🙏🥺🙏🥺🥺🙏,0.0,0.0,0
 Lol rip bozo😹🙏,0.7,0.8,1
 I got tha chicken nugget from Wendy’s https//t.co/6J7yrNPJAW,0.95,-0.6,-1
"  Why do this when you can go to the supermarket and just buy beef to make a burger??? BTW i am so going to eat a burger, not fake tho, 100% meat! MeatLovers",1.0,0.3125,1
 Ratio for killing dogs,0.0,0.0,0
"   Milk has been the diet of humans since day one. In addition, science has put milk on top of the food pyramid. Now all of a sudden its politically incorrect because of a minority opinion?!This is offensive to billions of Muslims.Milk is part of our diet mentioned in the Qur'an",0.3666666666666667,0.16666666666666666,1
 https//t.co/GC2Kldxzyd,0.0,0.0,0
" if you want to come start a riot over here in Brooklyn while all these chickens are getting killed, I would appreciate it",0.0,-0.2,-1
"  Actually no, bc animals we eat are feed with the part of the plant humains can't eat. Bruh just think, do you eat straws from the wheat ?",0.1,0.0,0
   Why are you deleting my reply ? You just offended billions of Muslims with this disgusting tweet. Milk is part of our diet that is mentioned in the Qur'an! Delete your tweet!,1.0,-1.0,-1
  Anyone else think it's funny PETA wants to add a little chick to a game where you gotta beat it up? Then again you have a history of hurting animals so not surprised.,0.58,-0.0375,-1
" When I was kidnapped,had no -essentials. They would manhandle me, rip and tug my hair screaming at me that it needed to be brushed. I didn’t have a brush. I was in a room like a Dog Pet. It  hurt. Roof HomeDoesNotMeanAnyoneIs Safe",0.3,0.25,1
"   What a horrible and disgusting framework! !First of all,milk has been the diet of billions of people since day one and always will be.Second,Milk is on top of the food pyramid science.
 Finally this is offensive to billions of Muslims.(Milk diet is mentioned in the Qur'an.",0.7666666666666667,-0.25,-1
 Obama,0.0,0.0,0
  Jumpscaring peta https//t.co/9nitrGfN7A,0.0,0.0,0
  I'd rather eat him.,0.0,0.0,0
 What am I supposed to do,0.0,0.0,0
  im hungry https//t.co/FDGpnAL8NN,0.0,0.0,0
 Third world problems require first world solutions.,0.16666666666666666,0.125,1
 Terrible,1.0,-1.0,-1
 YB protect animals better,0.5,0.5,1
" @ all experimenters reading this...

You are not only destroying the lives of GOOD beings, but you are destroying your own character!!! https//t.co/1z5tDyiY8W",0.52,0.25999999999999995,1
" I can't watch this video. A few seconds and I got sick from the humans behind this.

What the hell is wrong with people?",0.6392857142857142,-0.4535714285714286,-1
 That’s a good reason to not support any politician until they start considering the welfare of all good beings when making choices!,0.6000000000000001,0.7875,1
 Get a job,0.0,0.0,0
 OMG!!!!!!!,0.0,0.0,0
 This ratio be screaming in agony too,0.0,0.0,0
 get a job,0.0,0.0,0
 ok peta griffin https//t.co/7eRAXwLk2h,0.5,0.5,1
 That’s not funny! I pray this is a story with a meaning,1.0,-0.15625,-1
"  ALL these animal-research scientists are mentally ill psychopaths who are quite literally getting away with torture, gratuitous sadism and murder, and manage to convince the Gullible that their work helps humans when nothing could be further from the truth!",0.5833333333333334,-0.2625,-1
  https//t.co/nn3F5ZneA8,0.0,0.0,0
"  So let me get this straight.
 , an organization that advocates for animal rights, wants to allow people to beat up their admittedly cute baby chicken mascot in Smash?
Hell, there are at least FOUR characters that could EAT that chicken in the game!",0.6,-0.1571428571428571,-1
 _Europe 🐬 https//t.co/Lgq9BtP3Fr,0.0,0.0,0
  Really...?,0.2,0.2,1
" Ah yes, when Kirby sucks him in, he eats him, like normal chicken 👀",0.6333333333333333,-0.25,-1
 That’s why I get my milk from the store smh.,0.0,0.0,0
"  PETA, no think Nintendo is going to add your stupid chicken into smash bros? What makes this so unique??? I think you’re just gonna make yourself more of a fool if you even try to do some stuff like this and eventually sued since you keep doing the “my uncle works at Nintendo”.",0.8625,-0.13124999999999998,-1
 Fund this ratio,0.0,0.0,0
"  I never been in a Pig, Durty Tank like this!

when I asked to see and play with dolphins or whales as a child, my father took me to nature reserves!

only as an adult did I know that there were these concentration camps with water, sow but water!😿",0.65,0.05,1
  _marmo That’s awful! 😣,1.0,-1.0,-1
   Hidden replies of PETA posts are fuck'n gourmet 👌,0.4666666666666667,-0.2833333333333333,-1
 is semen vegan????,0.0,0.0,0
 okay well is semen vegan?,0.5,0.5,1
"Starvation, disease, torture this is the real American horror story ⬇️ https//t.co/AEe4hURG23",0.0,0.0,0
Even vegans are forced to support morally bankrupt experimenters through their taxes  ➡️ https//t.co/0QOP974B2i https//t.co/VBoFgYnEbb,0.225,-0.15000000000000002,-1
 peta i just want to know if semen is vegan,0.0,0.0,0
  Plants are nasty and only DINOSAURS eat them,1.0,-0.5,-1
 Stop killing animals or I unfollow,0.0,0.0,0
 please just answer my question and i’ll leave you guys alone,0.0,0.0,0
 ratio + dog killers,0.0,0.0,0
 hey peta! is semen vegan?,0.0,0.0,0
  Meat,0.0,0.0,0
  Mass slaughter. You make ISIS look calm and restrained.,0.75,0.30000000000000004,1
  I know from tasting that fourteen of those taste vile. The remaining ones taste so bad that I'd rather drink milk directly from a bloody wild lion tham ever let that knock off sludge pass my lips again. Calling that crap milk is at best misleading and at worst insulting to all.,0.6833333333333333,-0.38749999999999996,-1
  https//t.co/CewhEvFn6T,0.0,0.0,0
  Yb protect animals better,0.5,0.5,1
  L + stop killing dogs,0.0,0.0,0
  This is Fake No Way Nintendo would put that in SMBU Demand all you want its never going to happen &amp; the My Uncle Works At Nintendo is the oldest excuse nice try,0.6833333333333332,0.016666666666666646,1
 https//t.co/FtOfRzW4A1,0.0,0.0,0
   Thank you  you are a force of change for the animals for your generation ✊,0.0,0.0,0
  https//t.co/M0zhqeRMp9,0.0,0.0,0
   It looks cool https//t.co/g6wBLiHi4f,0.65,0.35,1
"   

You can’t be considered a good person if your actions are diminishing the quality of life of good beings...

STOP terrorizing good beings!!! https//t.co/BWmY8acE2Q",0.6000000000000001,0.7999999999999999,1
   I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
  I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
 I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
  I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
  I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
  I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
  I love meat you don't haha beta male,0.3333333333333333,0.2333333333333333,1
 _Cabello 💚💚💚,0.0,0.0,0
  His father was too busy with J.Lo.,0.3,0.1,1
"   lower the prices of vegan milks then. because veganism for people without a good economy is practically impossible. We eat what some of us can afford, don't screw around.",0.8,0.016666666666666663,1
   Epic,0.4,0.1,1
" _Sakurai  But... he is a nugget

He's meant to be one anyway",0.0,0.0,0
  I’ll start listening once you stop killing innocent animals under a façade of giving a shit.,0.75,0.15,1
's actually retarded. Actually shut up. https//t.co/Oz9OJtK7SC,0.45,-0.4,-1
  Soooo sad 😓💔,1.0,-0.5,-1
 Get rekt https//t.co/G1ptUECY5T,0.0,0.0,0
 Iran will have enough uranium for nuclear weapon in one month - report https//t.co/VLH8bv0jgb,0.5,0.0,0
  Aren't you against animals in video games fighting?,0.0,0.0,0
  😓💔,0.0,0.0,0
  This a joke right?,0.5357142857142857,0.2857142857142857,1
"  NO! AND WHY SHOULD THEY, CONSIDERING THE SHIT YOU PULLED IN THE PAST",0.525,-0.225,-1
  💥BOOM💥 SO great!,0.75,1.0,1
" could you help me find my roommate, her dogs hungry",0.0,0.0,0
 burger,0.0,0.0,0
 _Cringenning i don't think he's being a good boy this time,0.6000000000000001,0.7,1
   https//t.co/q19jBB6ph9,0.0,0.0,0
  Ratio + stop killing dogs,0.0,0.0,0
  Fraudulent company,0.0,0.0,0
  L + we eating good today https//t.co/bWuVF61xFU,0.6000000000000001,0.7,1
   Like if you'd motorboat those cow tiddies,0.16666666666666666,-0.13333333333333333,-1
 unblock me,0.0,0.0,0
 please do something about  https//t.co/UQpJtFMUvR,0.0,0.0,0
  You’re a fraudulent organization,0.0,0.0,0
  https//t.co/uMaGoJzZ1A,0.0,0.0,0
" fingers crossed that PETA doesn't block me because I admitted ""I'm not the biggest fan of what PETA does to people who don't support them, or aren't vegan."" https//t.co/nTxja5V5RV",0.0,0.0,0
   Pokemon fans https//t.co/0RrJUkOsrd,0.0,0.0,0
"  I know Peta isn't the most trustworthy organisation out there, nor am I vegan, but can you guys please stop making fun of them? It's not funny and they've moved past killing animals.",0.4875,0.10625000000000001,1
  https//t.co/4ejANK2aSF,0.0,0.0,0
   Peta does wonderful work and am very happy  that Oscar de la Renta has gone fur free. Thank you Billie Eilish! We need more people with clout like you.  Nanni🙏🌈,0.825,0.75,1
  Challenge for you PETA Stop killing innocent dogs.,0.7,0.5,1
  Ratio bozo,0.0,0.0,0
  Jobless,0.0,0.0,0
  Brb my chickens in my pin tryna escape,0.0,0.0,0
   Smoking turtle bozo 🚬,0.0,0.0,0
   _marmo Mmm https//t.co/ucO1LPezpH,0.0,0.0,0
 _Eubanks L account + dog fighter 🤜,0.0,0.0,0
   Fraudulent + these beef sticks goin’ yo my ass in a minute,0.0,0.0,0
  Get a job + hot dog bussin,0.8500000000000001,0.25,1
 Ratio + eating a juicy ass steak rn,0.0,0.0,0
 you do know that they already determine the dlc characters before they release the packs right? this is the final fighters pass so this would be for nothing https//t.co/xZj9JBPi2W,0.7678571428571428,0.14285714285714285,1
 i dont think ripping off a hand is good,0.6000000000000001,0.7,1
   Interesting 👠🏁,0.5,0.5,1
   Ok peta. I like cereal with milk.,0.5,0.5,1
   https//t.co/LAzanELpsw,0.0,0.0,0
 I’ll use it to send u pics of what I’m hunting this year I may get my self a bear 🐻,0.0,0.0,0
  I just made a cover with my anime skins u wanna see how warm it is,0.6,0.6,1
"   ✋

I'll keep doing it though 🙄",0.0,0.0,0
  https//t.co/00ZVXDOFXc,0.0,0.0,0
   Big mommy milkers,0.1,0.0,0
"  Y'all fucking blocked me on insta just bc I was spitting facts about how we need to balance the society and the world by eating animals. Dog abuse and pet abuse is one thing, but eating a fucking burger bc I'm hungry is different.",0.7333333333333334,-0.39999999999999997,-1
   You niggas are sick for this.,0.8571428571428571,-0.7142857142857143,-1
" _Sakurai  Thank you for the best joke of 2021, really made my day",0.25,0.6,1
 https//t.co/NJMMH3Nccd,0.0,0.0,0
 _Sakurai  https//t.co/MhbJqsyVRy,0.0,0.0,0
"  let's think of this logically, all characters featured in ssbu are from a well known/classic game franchise, point is, they are previously established characters. NOT A NUGGET isn't a well known, previously established, or classic character, so no. he will never be added to ssbu.",0.22999999999999998,-0.06333333333333332,-1
 Does the peta app help me euthanize dogs just like your shelters?,0.0,0.0,0
   then she wore a leather dress to the after party. 🤣🤡 https//t.co/gnCD69gWG4,0.0,0.0,0
  Ratio,0.0,0.0,0
    just doesn't care. May it be that they actually wake up to compassion and love the way the whole world needs to.,0.3666666666666667,0.2333333333333333,1
" Shut up PETA 
No one wants your crap character in Smash, now if you excuse me I’m gonna go play Smash and eat some nuggs",0.3166666666666667,-0.2166666666666667,-1
   even cows would disagree bruh,0.0,0.0,0
   I’m sure some other animals feels bad when they kill each other….. oh wait they don’t 😂,0.6435185185185185,-0.10833333333333328,-1
  I like the part where you overlayed Sakurai’s original character with your original clip art. Nice job. Maybe he’ll take your message seriously. https//t.co/Kp9RM0OmBQ,0.7916666666666666,0.2541666666666667,1
   Bro you're just not well are you,0.0,0.0,0
   What's  gonna drink for his calcium then?,0.0,0.0,0
   I want to drink it more now,0.5,0.5,1
  Lame. Stupidest thing I ever heard.,0.75,-0.5,-1
"  You are right on one thing 

Finally",0.7678571428571428,0.14285714285714285,1
 nah i don’t really feel like it ill do it when I’m ready,0.5666666666666667,-0.033333333333333326,-1
  When you try and say your character is the last DLC character but we all know who it really is. https//t.co/myvHmOAa7Z,0.13333333333333333,0.1,1
    ,0.0,0.0,0
   Oh my https//t.co/Co2NgJcpHW,0.0,0.0,0
   Slurping on them mommy milkies 🥵😳😫🖕,0.0,0.0,0
   nah id suck a cow tiddy,0.16666666666666666,-0.13333333333333333,-1
